species,cultural_count
Pan_troglodytes_verus,10
Pan_troglodytes_verus,17
Pan_troglodytes_verus,26
Pan_troglodytes_verus,26
Pan_troglodytes_troglodytes,16
Pan_troglodytes_troglodytes,5
Pan_troglodytes_schweinfurthii,16
Pan_troglodytes_schweinfurthii,11
Pan_troglodytes_schweinfurthii,23
Pan_troglodytes_schweinfurthii,12
Pan_troglodytes_schweinfurthii,12
Pan_troglodytes_schweinfurthii,11
Pan_paniscus,18
Gorilla_beringei_beringei,12
Gorilla_beringei_beringei,11
Gorilla_gorilla_gorilla,15
Gorilla_gorilla_gorilla,14
Gorilla_gorilla_gorilla,14
Gorilla_gorilla_diehli,
Gorilla_beringei_graueri,
Pongo_abelii,12
Pongo_abelii,6
Homo_sapiens,42
Pan_troglodytes_ellioti,
